五花肉（肥）,10.00,10.50,11.00,猪肉类,斤,2021-06-30
纯通脊,11.00,11.50,12.00,猪肉类,斤,2021-06-30
通脊,8.00,9.00,10.00,猪肉类,斤,2021-06-30
纯瘦肉,9.00,9.50,10.00,猪肉类,斤,2021-06-30
护心肉,16.00,16.00,16.00,猪肉类,斤,2021-06-30
前肘,9.00,9.50,10.00,猪肉类,斤,2021-06-30
羊肉片,36.00,37.00,38.00,羊肉类,斤,2021-06-29
羊腰子（挂油）,15.00,15.50,16.00,羊肉类,个,2021-06-29
羊蝎子,16.00,16.50,17.00,羊肉类,斤,2021-06-29
羊蝎子（精品）,27.00,27.50,28.00,羊肉类,斤,2021-06-29
羊排骨,28.00,28.50,29.00,羊肉类,斤,2021-06-29
羊尾巴油,9.00,9.00,9.00,羊肉类,斤,2021-06-29
羊小腿（羊棒）,24.00,24.00,24.00,羊肉类,斤,2021-06-29
羊腱子,47.00,47.00,47.00,羊肉类,斤,2021-06-29
羊上脑,37.00,37.00,37.00,羊肉类,斤,2021-06-29
羊骨头,10.00,10.00,10.00,羊肉类,斤,2021-06-29
羊腩,30.00,30.00,30.00,羊肉类,斤,2021-06-29
羊里脊,37.00,37.00,37.00,羊肉类,斤,2021-06-29
淘汰鸡（干净膛）,10.00,10.00,10.00,禽肉类,斤,2021-06-29
淘汰鸡（净膛）,9.00,9.00,9.00,禽肉类,斤,2021-06-29
仔鸡（净膛）,7.00,7.00,7.00,禽肉类,斤,2021-06-29
肉鸡,6.50,6.50,6.50,禽肉类,斤,2021-06-29
鸡胸,7.00,7.25,7.50,禽肉类,斤,2021-06-29
鸡翅,10.00,10.50,11.00,禽肉类,斤,2021-06-29
鸡翅中,21.00,21.00,21.00,禽肉类,斤,2021-06-29
鸡边腿,7.00,7.00,7.00,禽肉类,斤,2021-06-29
猪肠,16.00,16.50,17.00,猪肉类,斤,2021-06-30
整牛,33.00,33.00,33.00,牛肉类,斤,2021-06-30
牛前腱,36.00,36.00,36.00,牛肉类,斤,2021-06-30
牛后腱,36.00,36.00,36.00,牛肉类,斤,2021-06-30
